iter	Passed	Remaining
0	151	151816
1	153	76791
2	157	52311
3	159	39594
4	160	31945
5	161	26828
6	163	23169
7	164	20400
8	165	18251
9	167	16549
10	168	15169
11	170	14009
12	171	12986
13	171	12106
14	173	11381
15	174	10731
16	175	10132
17	175	9597
18	176	9125
19	177	8692
20	178	8302
21	178	7947
22	179	7616
23	179	7313
24	180	7034
25	180	6776
26	181	6548
27	182	6331
28	183	6136
29	183	5948
30	184	5767
31	185	5597
32	185	5437
33	186	5286
34	186	5145
35	187	5011
36	187	4884
37	188	4764
38	188	4650
39	189	4541
40	189	4438
41	190	4340
42	190	4247
43	191	4157
44	191	4071
45	192	3989
46	192	3911
47	193	3836
48	193	3764
49	194	3696
50	195	3631
51	195	3573
52	196	3514
53	197	3460
54	198	3403
55	198	3348
56	199	3295
57	199	3243
58	200	3194
59	200	3146
60	201	3099
61	201	3054
62	202	3010
63	202	2968
64	203	2927
65	204	2887
66	204	2848
67	205	2810
68	205	2774
69	206	2738
70	206	2703
71	207	2669
72	207	2637
73	208	2605
74	208	2573
75	209	2544
76	209	2515
77	210	2488
78	211	2461
79	211	2436
80	212	2412
81	213	2386
82	213	2358
83	213	2333
84	214	2308
85	215	2285
86	215	2261
87	216	2239
88	216	2216
89	217	2194
90	217	2173
91	218	2152
92	218	2132
93	219	2112
94	219	2092
95	220	2073
96	220	2054
97	221	2035
98	221	2017
99	222	2000
100	222	1982
101	223	1967
102	224	1951
103	224	1934
104	225	1919
105	225	1905
106	226	1891
107	227	1878
108	227	1863
109	228	1848
110	228	1833
111	229	1819
112	230	1805
113	230	1791
114	231	1778
115	231	1765
116	232	1751
117	232	1738
118	233	1725
119	233	1712
120	234	1700
121	234	1687
122	235	1675
123	235	1663
124	236	1652
125	236	1640
126	237	1630
127	237	1620
128	238	1610
129	239	1600
130	239	1590
131	240	1584
132	242	1578
133	242	1570
134	243	1561
135	244	1552
136	245	1543
137	245	1534
138	246	1525
139	246	1515
140	247	1506
141	247	1496
142	248	1487
143	248	1479
144	249	1470
145	249	1461
146	250	1453
147	250	1444
148	251	1436
149	252	1428
150	252	1419
151	253	1411
152	253	1403
153	254	1395
154	254	1389
155	255	1382
156	256	1375
157	257	1370
158	257	1362
159	258	1355
160	258	1347
161	259	1340
162	259	1333
163	260	1326
164	260	1319
165	261	1312
166	261	1305
167	262	1298
168	262	1291
169	263	1285
170	263	1278
171	264	1272
172	264	1265
173	265	1259
174	265	1253
175	266	1247
176	266	1240
177	267	1234
178	267	1228
179	268	1222
180	268	1216
181	269	1211
182	270	1206
183	270	1201
184	271	1197
185	272	1192
186	273	1187
187	273	1181
188	274	1176
189	274	1171
190	275	1165
191	275	1160
192	276	1155
193	276	1149
194	277	1144
195	277	1139
196	278	1134
197	278	1129
198	279	1124
199	279	1119
200	280	1114
201	280	1109
202	281	1104
203	281	1099
204	282	1095
205	282	1090
206	283	1085
207	283	1081
208	284	1077
209	285	1073
210	285	1069
211	286	1066
212	287	1062
213	287	1057
214	288	1053
215	288	1048
216	289	1044
217	289	1040
218	290	1036
219	291	1031
220	291	1027
221	292	1023
222	292	1019
223	293	1015
224	293	1011
225	294	1007
226	294	1003
227	295	999
228	295	995
229	296	991
230	296	987
231	297	983
232	297	979
233	298	976
234	298	972
235	299	968
236	300	966
237	300	962
238	301	959
239	302	957
240	302	953
241	303	950
